spol,tip_putnika,godine,vrsta_putovanja,klasa,udaljenost_leta,vrijeme_odlaska_dolaska,kasnjenje_polaska_u_minutama,kasnjenje_dolaska_u_minutama,zadovoljstvo_putnika
zensko,Lojalan putnik,52,Poslovno putovanje,Ekonomska,160,4,50,44,Zadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Poslovna,2863,1,0,0,Zadovoljan
musko,Nelojalan putnik,20,Poslovno putovanje,Ekonomska,192,0,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,44,Poslovno putovanje,Poslovna,3377,0,0,6,Zadovoljan
zensko,Lojalan putnik,49,Poslovno putovanje,Ekonomska,1182,3,0,20,Zadovoljan
musko,Lojalan putnik,16,Poslovno putovanje,Ekonomska,311,3,0,0,Zadovoljan
zensko,Lojalan putnik,77,Poslovno putovanje,Poslovna,3987,5,0,0,Zadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Poslovna,2556,2,77,65,Zadovoljan
musko,Lojalan putnik,47,Poslovno putovanje,Ekonomska,556,2,1,0,Zadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,1744,2,28,14,Zadovoljan
zensko,Lojalan putnik,47,Poslovno putovanje,Ekonomska,1235,1,29,19,Zadovoljan
zensko,Lojalan putnik,33,Poslovno putovanje,Poslovna,325,5,18,7,Neutralan ili nezadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,1009,5,0,0,Zadovoljan
zensko,Lojalan putnik,60,Poslovno putovanje,Poslovna,451,1,117,113,Zadovoljan
zensko,Lojalan putnik,52,Poslovno putovanje,Poslovna,925,2,10,0,Zadovoljan
musko,Lojalan putnik,50,Lično putovanje,Ekonomska,83,4,5,2,Neutralan ili nezadovoljan
zensko,Lojalan putnik,31,Poslovno putovanje,Ekonomska,728,5,2,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,52,Lično putovanje,Ekonomska Plus,1075,4,0,0,Zadovoljan
zensko,Lojalan putnik,43,Lično putovanje,Ekonomska,1927,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,50,Poslovno putovanje,Poslovna,3799,5,8,0,Zadovoljan
musko,Lojalan putnik,60,Poslovno putovanje,Poslovna,612,4,21,49,Zadovoljan
musko,Lojalan putnik,43,Lično putovanje,Ekonomska,1437,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,55,Lično putovanje,Ekonomska,302,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,25,Poslovno putovanje,Poslovna,1428,4,0,0,Zadovoljan
zensko,Nelojalan putnik,30,Poslovno putovanje,Ekonomska,528,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,62,Lično putovanje,Ekonomska,710,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,24,Poslovno putovanje,Poslovna,3680,1,0,0,Zadovoljan
zensko,Lojalan putnik,22,Poslovno putovanje,Ekonomska,1521,1,3,13,Zadovoljan
musko,Lojalan putnik,44,Poslovno putovanje,Poslovna,1543,5,0,0,Zadovoljan
musko,Lojalan putnik,51,Poslovno putovanje,Ekonomska,235,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,43,Lično putovanje,Poslovna,1235,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,56,Poslovno putovanje,Ekonomska,308,3,0,0,Zadovoljan
musko,Nelojalan putnik,41,Poslovno putovanje,Ekonomska,624,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,22,Lično putovanje,Ekonomska,1846,5,40,68,Neutralan ili nezadovoljan
zensko,Lojalan putnik,53,Poslovno putovanje,Ekonomska,192,2,0,1,Zadovoljan
musko,Lojalan putnik,12,Lično putovanje,Ekonomska,674,4,80,70,Neutralan ili nezadovoljan
zensko,Lojalan putnik,39,Poslovno putovanje,Poslovna,370,3,10,12,Zadovoljan
zensko,Lojalan putnik,55,Poslovno putovanje,Poslovna,3169,1,73,68,Zadovoljan
zensko,Nelojalan putnik,32,Poslovno putovanje,Poslovna,802,4,0,10,Neutralan ili nezadovoljan
zensko,Lojalan putnik,40,Lično putovanje,Ekonomska,628,4,4,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,42,Poslovno putovanje,Poslovna,373,3,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,24,Poslovno putovanje,Ekonomska,725,4,0,4,Zadovoljan
